node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G91,XOR2_X1,B6_3,False,1.333,0.08532999999999999,0.07866400000000001,1.1083579999999997,1.101692,0.962995,0.9794955000000001,-0.1453629999999997,-0.12219649999999982,-0.1453629999999997
G101,OR2_X1,B7_3,False,2.0,0.07500000000000001,0.063,1.1376909999999998,1.1145245,0.9903310000000001,0.9903310000000001,-0.1473599999999997,-0.12419349999999985,-0.1473599999999997
G111,NAND3_X1,B8_3,False,2.333,0.070663,0.072329,1.1458574999999998,1.1548574999999999,1.0781685000000003,1.0098335000000003,-0.06768899999999944,-0.1450239999999996,-0.1450239999999996
G42,AND2_X1,B1_4,False,1.667,0.063336,0.0588355,1.1716939999999998,1.1605275,1.0273310000000002,1.0393310000000002,-0.14436299999999957,-0.12119649999999971,-0.14436299999999957
G52,XNOR2_X1,B2_4,False,1.667,0.0935035,0.0861695,1.2311944999999997,1.2238604999999998,1.0858345000000003,1.0808355,-0.1453599999999995,-0.14302499999999974,-0.1453599999999995
G62,NOR3_X1,B3_4,False,1.667,0.085006,0.053336,1.2398634999999998,1.1991934999999998,1.0948395000000002,1.1315045000000004,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G72,OR3_X1,B4_4,False,1.333,0.089997,0.07633100000000001,1.2471875,1.1630179999999999,1.101331,1.1178305000000002,-0.14585649999999983,-0.045187499999999714,-0.14585649999999983
G82,NOR2_X1,B5_4,False,2.0,0.066,0.045,1.1988554999999999,1.1315224999999998,1.0515015,1.0515015,-0.14735399999999976,-0.08002099999999968,-0.14735399999999976
G92,AND2_X1,B6_4,False,1.667,0.063336,0.0588355,1.1716939999999998,1.1605275,1.026331,1.0383310000000001,-0.1453629999999997,-0.12219649999999982,-0.1453629999999997
G102,XNOR2_X1,B7_4,False,1.667,0.0935035,0.0861695,1.2311944999999997,1.2238604999999998,1.0838345,1.0788355,-0.1473599999999997,-0.14502499999999974,-0.1473599999999997
G112,NOR3_X1,B8_4,False,1.667,0.085006,0.053336,1.2398634999999998,1.1991934999999998,1.0948395000000002,1.1315045000000004,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G43,OR2_X1,B1_5,False,2.0,0.07500000000000001,0.063,1.2466939999999997,1.2235274999999999,1.1023310000000002,1.1023310000000002,-0.14436299999999957,-0.12119649999999971,-0.14436299999999957
G53,NAND3_X1,B2_5,False,2.333,0.070663,0.072329,1.2945234999999997,1.3035234999999998,1.1514985,1.1581635000000003,-0.14302499999999974,-0.1453599999999995,-0.1453599999999995
G63,AND3_X1,B3_5,False,2.333,0.0858305,0.079331,1.3256939999999997,1.2785244999999998,1.18067,1.2108355000000004,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G73,NAND2_X1,B4_5,False,1.667,0.047503500000000004,0.043003,1.2105214999999998,1.2901904999999998,1.165334,1.144334,-0.045187499999999714,-0.14585649999999983,-0.14585649999999983
G83,XOR2_X1,B5_5,False,1.333,0.08532999999999999,0.07866400000000001,1.2841854999999998,1.2775195,1.1368315,1.153332,-0.14735399999999976,-0.1241874999999999,-0.14735399999999976
G93,OR2_X1,B6_5,False,2.0,0.07500000000000001,0.063,1.2466939999999997,1.2235274999999999,1.101331,1.101331,-0.1453629999999997,-0.12219649999999982,-0.1453629999999997
G103,NAND3_X1,B7_5,False,2.333,0.070663,0.072329,1.2945234999999997,1.3035234999999998,1.1494985,1.1561635000000001,-0.14502499999999974,-0.1473599999999997,-0.1473599999999997
G113,AND3_X1,B8_5,False,2.333,0.0858305,0.079331,1.3256939999999997,1.2785244999999998,1.18067,1.2108355000000004,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G44,XNOR2_X1,B1_6,False,1.667,0.0935035,0.0861695,1.3401974999999997,1.3328634999999998,1.1958345000000001,1.18967,-0.14436299999999957,-0.14319349999999975,-0.14436299999999957
G54,NOR3_X1,B2_6,False,1.667,0.085006,0.053336,1.3885294999999998,1.3478594999999998,1.2431695000000003,1.2048345,-0.1453599999999995,-0.14302499999999974,-0.1453599999999995
G64,OR3_X1,B3_6,False,1.333,0.089997,0.07633100000000001,1.4156909999999998,1.3548554999999998,1.2706670000000002,1.2871665000000003,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G74,NOR2_X1,B4_6,False,2.0,0.066,0.045,1.3561904999999999,1.2555214999999997,1.210334,1.210334,-0.14585649999999983,-0.045187499999999714,-0.14585649999999983
G84,AND2_X1,B5_6,False,1.667,0.063336,0.0588355,1.3475214999999998,1.336355,1.2001675,1.2121675,-0.14735399999999976,-0.1241874999999999,-0.14735399999999976
G94,XNOR2_X1,B6_6,False,1.667,0.0935035,0.0861695,1.3401974999999997,1.3328634999999998,1.1948345,1.18867,-0.1453629999999997,-0.14419349999999986,-0.1453629999999997
G104,NOR3_X1,B7_6,False,1.667,0.085006,0.053336,1.3885294999999998,1.3478594999999998,1.2411695,1.2028345,-0.1473599999999997,-0.14502499999999974,-0.1473599999999997
G114,OR3_X1,B8_6,False,1.333,0.089997,0.07633100000000001,1.4156909999999998,1.3548554999999998,1.2706670000000002,1.2871665000000003,-0.1450239999999996,-0.06768899999999944,-0.1450239999999996
G45,NAND3_X1,B1_7,False,2.333,0.070663,0.072329,1.4035264999999997,1.4125264999999998,1.260333,1.2681635000000002,-0.14319349999999975,-0.14436299999999957,-0.14436299999999957
G55,AND3_X1,B2_7,False,2.333,0.0858305,0.079331,1.4743599999999997,1.4271904999999998,1.3290000000000002,1.2841655,-0.1453599999999995,-0.14302499999999974,-0.1453599999999995
G65,NAND2_X1,B3_7,False,1.667,0.047503500000000004,0.043003,1.4023589999999997,1.4586939999999997,1.3346700000000002,1.3136700000000001,-0.06768899999999944,-0.1450239999999996,-0.1450239999999996
